487;軽;12;"Kuruma, Kurumahen";ケイ、かる-い、かろ-やか
488;傾;13;"Hito, Ninben, Hitoyane";ケイ、かたむ-く、かたむ-ける
489;携;13;Tehen;ケイ、たずさ-える、たずさ-わる
490;継;13;"Ito, Itohen";ケイ、つ-ぐ
491;詣;13;"Gon, Gonben";ケイ、もう-でる
492;慶;15;"Kokoro, Risshinben, Shitagokoro";ケイ
493;憬;15;"Kokoro, Risshinben, Shitagokoro";ケイ
494;稽;15;"Nogi, Nogihen";ケイ
495;憩;16;"Kokoro, Risshinben, Shitagokoro";ケイ、いこ-い、いこ-う
496;警;19;"Gon, Gonben";ケイ
497;鶏;19;Tori;ケイ、にわとり
498;芸;7;Kusakanmuri;ゲイ
499;迎;7;Shinnyoo;ゲイ、むか-える
500;鯨;19;"Uo, Uohen";ゲイ、くじら
501;隙;13;Kozatohen;ゲキ、すき
502;劇;15;"Katana, Rittoo";ゲキ
503;撃;15;Te;ゲキ、う-つ
504;激;16;"Mizu, Sanzui, Shitamizu";ゲキ、はげ-しい
505;桁;10;"Ki, Kihen";けた
506;欠;4;Akubi;ケツ、か-ける、か-く
507;穴;5;"Ana, Anakanmuri";ケツ、あな
508;血;6;Chi;ケツ、ち
509;決;7;"Mizu, Sanzui, Shitamizu";ケツ、き-める、き-まる
510;結;12;"Ito, Itohen";ケツ、むす-ぶ、ゆ-う、ゆ-わえる
511;傑;13;"Hito, Ninben, Hitoyane";ケツ
512;潔;15;"Mizu, Sanzui, Shitamizu";ケツ、いさぎよ-い
513;月;4;"Tsuki, Tsukihen";ゲツ、ガツ、つき
514;犬;4;"Inu, Kemonohen";ケン、いぬ
515;件;6;"Hito, Ninben, Hitoyane";ケン
516;見;7;Miru;ケン、み-る、み-える、み-せる
517;券;8;"Katana, Rittoo";ケン
518;肩;8;"Niku, Nikuzuki";ケン、かた
519;建;9;Ennyoo;ケン、[コン]、た-てる、た-つ
520;研;9;"Ishi, Ishihen";ケン、と-ぐ
521;県;9;"Me, Mehen";ケン
522;倹;10;"Hito, Ninben, Hitoyane";ケン
523;兼;10;Hachi;ケン、か-ねる
524;剣;10;"Katana, Rittoo";ケン、つるぎ
525;拳;10;Tehen;ケン、こぶし
526;軒;10;"Kuruma, Kurumahen";ケン、のき
